ID,fileName,startFrame,endFrame
16-2,16_F3_F3_000,5251.56568,5999.26708
16-2,16_F3_F3_000,5999.26708,6508.45072
16-2,16_F3_F3_000,6508.45072,7240.59664
16-2,16_F3_F3_000,7240.59664,7560.00304
16-2,16_F3_F3_000,7560.00304,8242.37128
16-2,16_F3_F3_000,8242.37128,8620.88872
16-2,16_F3_F3_000,8620.88872,9146.66488
16-2,16_F3_F3_000,9146.66488,9712.88536
16-2,16_F3_F3_000,9712.88536,9971.10676
16,16_F3_F3,624.05468,1052.88152
16,16_F3_F3,1052.88152,1592.16368
16,16_F3_F3,1592.16368,2026.48832
16,16_F3_F3,2026.48832,2533.2836
16,16_F3_F3,2533.2836,2783.68244
16,16_F3_F3,3485.399,3860.74736
16,16_F3_F3,3860.74736,4259.08652
16,16_F3_F3,4259.08652,4578.45752
16,16_F3_F3,4578.45752,5036.77232
16,16_F3_F3,5036.77232,5340.64964
16,16_F3_F3,5340.64964,5953.40216
16,16_F3_F3,5953.40216,6365.2358
16,16_F3_F3,6365.2358,6867.03308
16,16_F3_F3,7544.75936,8162.01008
16,16_F3_F3,8162.01008,8669.80496
16,16_F3_F3,8669.80496,9042.65432
17-2,17_D3_S3_000,832.99256,1659.16316
17-2,17_D3_S3_000,1659.16316,2368.20188
17-2,17_D3_S3_000,2368.20188,3195.9344
17-2,17_D3_S3_000,3195.9344,3647.28284
17-2,17_D3_S3_000,4484.3858,5352.72392
17-2,17_D3_S3_000,5352.72392,6117.986
17-2,17_D3_S3_000,6117.986,6936.34784
17-2,17_D3_S3_000,6936.34784,7584.47804
17-2,17_D3_S3_000,7584.47804,8202.93464
17-2,17_D3_S3_000,8202.93464,8946.33212
17-2,17_D3_S3_000,8946.33212,9255.56048
17-2,17_D3_S3_000,9774.06452,10444.05932
17-2,17_D3_S3_000,10722.0524,11396.73248
17-2,17_D3_S3_000,11396.73248,12119.82704
17-2,17_D3_S3_000,12119.82704,12839.79812
17-2,17_D3_S3_000,12839.79812,13556.6456
17-2,17_D3_S3_000,13556.6456,14209.46096
17-2,17_D3_S3_000,14209.46096,14740.45916
17-3,17_D3_S3_001,710.99428,1329.35428
17-3,17_D3_S3_001,1329.35428,2061.29044
17-3,17_D3_S3_001,2061.29044,2532.00112
17-3,17_D3_S3_001,2532.00112,3271.50904
17-3,17_D3_S3_001,3271.50904,3711.9328
17-3,17_D3_S3_001,3711.9328,4387.08088
17-3,17_D3_S3_001,4387.08088,4898.1742
17-3,17_D3_S3_001,4898.1742,5589.72772
17-3,17_D3_S3_001,5589.72772,6141.2038
17-3,17_D3_S3_001,6141.2038,6840.32908
17-3,17_D3_S3_001,6840.32908,7323.65932
17-3,17_D3_S3_001,7323.65932,8159.07616
